,Dim 0,Dim 1,Dim 2,Classification Results,Fault Type
0,0.38449052,1.2084125,0.67521495,TP,DV/DT High Fault
1,0.97489,-0.0,0.6336521,TN,Run
2,0.7583942,-0.0,0.95805234,TP,A- Driver Fault
3,0.9760045,-0.0,0.6398296,TN,Run
4,0.9847085,-0.0,0.6344288,TN,Run
5,0.9822453,-0.0,0.6321361,TN,Run
6,1.1545246,-0.0,0.3804185,TN,Run
7,0.9746569,-0.0,0.6420361,TN,Run
8,0.9606269,-0.0,0.64755654,TN,Run
9,0.03671414,-0.0,1.1547471,TN,Run
10,1.1993952,-0.0,0.303386,TN,Run
11,0.9776341,-0.0,0.6395794,TN,Run
12,0.92994195,-0.0,0.67610955,TP,+ DC I High Fault
13,0.96286535,-0.0,0.6465061,TN,Run
14,0.97562754,-0.0,0.6379615,FN,Xmtr 3 Fiber Fault
15,0.96474653,-0.0,0.6575343,TN,Run
16,1.2268708,-0.0,0.28361863,TN,Run
17,0.95271784,-0.0,0.65658355,FN,Xmtr 1 Fiber     Fault
18,0.36222774,-0.0,1.1038866,TP,SCR Contactor Fault
19,0.97458255,-0.0,0.6347346,TN,Run
20,1.1599902,-0.0,0.3719605,TN,Run
21,0.9719553,-0.0,0.6366411,TN,Run
22,0.6661384,-0.0,1.0571066,TN,Run
23,0.9834322,-0.0,0.6372738,TN,Run
24,0.95271784,-0.0,0.65658355,FN,Xmtr 1 Fiber     Fault
25,0.3537222,-0.0,1.1054276,TP,SNS PPS Missing
26,0.9554738,-0.0,0.6579459,TN,Run
27,1.0690261,-0.0,0.5333877,TP,Xmtr 3 Fiber Fault
28,0.9599263,-0.0,0.65545154,TN,Run
29,0.95690244,-0.0,0.64708894,TN,Run
30,0.22268496,0.85814273,0.9342241,TP,TPS Fault
31,0.9859159,-0.0,0.63272524,TN,Run
32,1.2341949,-0.0,0.27315477,TN,Run
33,0.9704806,-0.0,0.6406229,TN,Run
34,0.9876499,-0.0,0.63389,TN,Run
35,0.98023057,-0.0,0.63685745,TN,Run
36,0.9566995,-0.0,0.657553,TN,Run
37,0.98986715,-0.0,0.6324308,FN,A- Driver Fault
38,0.989014,-0.0,0.62384206,TN,Run
39,0.9676778,-0.0,0.6416708,TN,Run
40,0.9619711,-0.0,0.64442533,FN,Xmtr 3 Fiber Fault
41,0.9832424,-0.0,0.6366444,TN,Run
42,0.9465976,-0.0,0.6703168,TN,Run
43,0.9796953,-0.0,0.6337276,TN,Run
44,0.3560484,-0.0,1.1114554,TP,SNS PPS Missing
45,1.2214433,-0.0,0.27400583,TN,Run
46,0.9787857,-0.0,0.6333094,TN,Run
47,0.9798505,-0.0,0.6380629,TN,Run
48,0.98425066,-0.0,0.63132405,TN,Run
49,0.9640243,-0.0,0.6576827,TN,Run
50,0.9836126,-0.0,0.6304616,TN,Run
51,0.9865579,-0.0,0.634535,TN,Run
52,0.9689309,-0.0,0.637086,TN,Run
53,0.92912203,-0.0,0.681725,TP,+ DC I High Fault
54,-0.0,-0.0,1.1348742,TN,Run
55,0.9812882,-0.0,0.6384695,TN,Run
56,0.9664116,-0.0,0.6451853,TN,Run
57,0.983293,-0.0,0.63485104,TN,Run
58,0.97682214,-0.0,0.6360878,TN,Run
59,0.9761762,-0.0,0.6364043,FN,Xmtr 3 Fiber Fault
60,0.96384794,-0.0,0.64445734,TN,Run
61,0.5345256,1.2508538,0.449838,TP,DV/DT High Fault
62,1.1811723,-0.0,0.34780326,TN,Run
63,0.9542361,-0.0,0.65739816,TN,Run
64,1.1839832,-0.0,0.3230384,TN,Run
65,0.9867953,-0.0,0.6290062,TN,Run
66,0.9798917,-0.0,0.6381455,TN,Run
67,0.9546338,-0.0,0.6493344,TN,Run
68,1.031438,-0.0,0.5927162,TN,Run
69,1.1695106,-0.0,0.36277452,TN,Run
70,1.1611427,-0.0,0.36214274,TN,Run
71,0.9877656,-0.0,0.63014877,FN,Xmtr 2 Fiber Fault
72,0.9726802,-0.0,0.6383518,TN,Run
73,0.9781106,-0.0,0.6394104,TN,Run
74,1.1770128,-0.0,0.32686433,TN,Run
75,1.2242862,-0.0,0.29192826,TN,Run
76,0.9690232,-0.0,0.652142,TN,Run
77,0.6012079,1.0952965,0.5786034,TP,DV/DT High Fault
78,0.9804096,-0.0,0.6228103,TN,Run
79,0.95052004,-0.0,0.65509516,TN,Run
80,0.94996625,-0.0,0.6668726,TN,Run
81,0.9900271,-0.0,0.63003755,TN,Run
82,0.9684093,-0.0,0.64226055,TN,Run
83,0.979089,-0.0,0.64180875,TN,Run
84,0.9533273,-0.0,0.65713423,TN,Run
85,0.9838852,-0.0,0.63863254,TN,Run
86,0.95151234,-0.0,0.65503144,TN,Run
87,1.1726482,-0.0,0.34705406,TN,Run
88,0.9026128,-0.0,0.70804435,TP,TPS Fault
89,0.028839707,-0.0,1.1569494,TN,Run
90,-0.0,0.71553147,1.0300304,TP,TPS Fault
91,0.94144213,-0.0,0.6716731,TN,Run
92,0.9926482,-0.0,0.62854487,TN,Run
93,0.9719013,-0.0,0.64209384,TN,Run
94,0.9904024,-0.0,0.6307754,TN,Run
95,1.195541,-0.0,0.3050552,TN,Run
96,-0.0,-0.0,1.1033573,TP,SNS PPS Missing
97,0.3582393,-0.0,1.1161488,TP,SNS PPS Missing
98,0.990857,-0.0,0.6316804,TN,Run
